precipitation,date (mm/dd/yyyy),daily_min_temp,daily_max_temp
8,6/29/2013,18,26
13,6/30/2013,10,27
1,7/1/2013,23,24
14,7/2/2013,11,40
0,7/3/2013,14,26
9,7/4/2013,11,30
7,7/5/2013,33,33
16,7/6/2013,15,26
18,7/7/2013,28,37
14,7/8/2013,22,34
2,7/9/2013,28,29
10,7/10/2013,31,32
12,7/11/2013,36,36
20,7/12/2013,19,31
17,7/13/2013,21,27
12,7/14/2013,32,33
0,7/15/2013,23,33
12,7/16/2013,18,25
19,7/17/2013,24,34
11,7/18/2013,17,25
16,7/19/2013,11,24
4,7/20/2013,12,27
10,7/21/2013,22,40
12,7/22/2013,18,25
4,7/23/2013,25,26
6,7/24/2013,21,24
11,7/25/2013,12,26
2,7/26/2013,18,31
2,7/27/2013,10,32
17,7/28/2013,37,37
15,7/29/2013,22,27
0,7/30/2013,25,26
19,7/31/2013,10,27
14,8/1/2013,33,39
10,8/2/2013,12,26
9,8/3/2013,25,32
16,8/4/2013,21,25
0,8/5/2013,28,39
7,8/6/2013,31,33
1,8/7/2013,12,34
8,8/8/2013,21,25
11,8/9/2013,19,30
10,8/10/2013,26,35
14,8/11/2013,16,27
4,8/12/2013,21,35
4,8/13/2013,11,25
9,8/14/2013,12,29
4,8/15/2013,17,38
4,8/16/2013,10,24
10,8/17/2013,28,40
5,8/18/2013,29,30
15,8/19/2013,20,28
20,8/20/2013,14,36
18,8/21/2013,24,33
19,8/22/2013,27,37
13,8/23/2013,35,40
11,8/24/2013,10,24
12,8/25/2013,13,32
7,8/26/2013,32,32
18,8/27/2013,18,32
6,8/28/2013,34,37
0,8/29/2013,34,35
6,8/30/2013,28,39
19,8/31/2013,15,26
19,9/1/2013,17,24
5,9/2/2013,26,39
1,9/3/2013,17,24
12,9/4/2013,12,36
15,9/5/2013,13,26
16,9/6/2013,15,30
7,9/7/2013,28,36
20,9/8/2013,26,34
0,9/9/2013,23,32
18,9/10/2013,19,26
15,9/11/2013,21,26
3,9/12/2013,20,24
13,9/13/2013,10,36
19,9/14/2013,13,37
13,9/15/2013,31,31
7,9/16/2013,28,28
3,9/17/2013,10,27
1,9/18/2013,31,31
0,9/19/2013,14,27
12,9/20/2013,30,30
9,9/21/2013,12,32
13,9/22/2013,27,29
11,9/23/2013,20,28
1,9/24/2013,10,27
10,9/25/2013,17,32
12,9/26/2013,21,38
0,9/27/2013,15,39
0,9/28/2013,14,33
3,9/29/2013,10,27
3,9/30/2013,25,34
3,10/1/2013,24,34
1,10/2/2013,31,32
1,10/3/2013,30,36
2,10/4/2013,19,25
3,10/5/2013,11,28
0,10/6/2013,26,34
2,10/7/2013,19,27
3,10/8/2013,25,28
0,10/9/2013,24,36
2,10/10/2013,20,36
5,10/11/2013,33,38
0,10/12/2013,19,38
4,10/13/2013,16,37
4,10/14/2013,26,29
0,10/15/2013,21,31
0,10/16/2013,23,28
2,10/17/2013,27,36
4,10/18/2013,21,36
4,10/19/2013,26,29
3,10/20/2013,23,26
5,10/21/2013,12,37
5,10/22/2013,19,29
0,10/23/2013,24,31
2,10/24/2013,29,30
3,10/25/2013,16,40
4,10/26/2013,26,34
5,10/27/2013,25,25
5,10/28/2013,26,26
2,10/29/2013,24,40
4,10/30/2013,17,36
5,10/31/2013,24,34
5,11/1/2013,14,39
5,11/2/2013,19,24
2,11/3/2013,24,27
2,11/4/2013,17,26
3,11/5/2013,26,40
4,11/6/2013,15,30
1,11/7/2013,10,24
4,11/8/2013,35,40
3,11/9/2013,19,26
2,11/10/2013,13,32
3,11/11/2013,27,32
0,11/12/2013,10,30
0,11/13/2013,20,38
5,11/14/2013,28,37
5,11/15/2013,26,29
0,11/16/2013,23,37
2,11/17/2013,34,40
4,11/18/2013,10,27
3,11/19/2013,18,31
3,11/20/2013,25,30
1,11/21/2013,12,40
3,11/22/2013,17,32
5,11/23/2013,29,39
3,11/24/2013,28,29
5,11/25/2013,22,29
1,11/26/2013,11,30
2,11/27/2013,16,26
3,11/28/2013,36,39
0,11/29/2013,28,33
5,11/30/2013,16,27
1,12/1/2013,15,24
3,12/2/2013,22,25
5,12/3/2013,27,37
5,12/4/2013,17,39
1,12/5/2013,29,30
1,12/6/2013,11,27
1,12/7/2013,14,26
2,12/8/2013,14,27
2,12/9/2013,14,26
4,12/10/2013,13,27
5,12/11/2013,32,40
2,12/12/2013,13,34
4,12/13/2013,16,25
3,12/14/2013,17,25
2,12/15/2013,24,36
1,12/16/2013,27,33
5,12/17/2013,22,40
1,12/18/2013,33,40
1,12/19/2013,28,40
3,12/20/2013,13,35
1,12/21/2013,10,39
1,12/22/2013,17,32
4,12/23/2013,13,24
4,12/24/2013,16,26
4,12/25/2013,11,27
1,12/26/2013,21,36
2,12/27/2013,13,26
4,12/28/2013,11,33
2,12/29/2013,15,36
5,12/30/2013,18,32
5,12/31/2013,17,35
